Номер позиции,ЮЛ,Локация,Подразделение,Отдел,Группа,Должность,ФИО,Тип работы
БСЗ172,БСЗ,Брусника.Сургут,"Подразделение ""Афина""",,,Директор,Вакансия,БП/Цифра
БСЗ173,БСЗ,Брусника.Сургут,"Подразделение ""Афина""",,,Специалист,Сотрудник Брусники 30,Бизнес
БСЗ174,БСЗ,Брусника.Омск,"Подразделение ""Афина""",,,Специалист,Сотрудник Брусники 31,Бизнес
БСЗ175,БСЗ,Брусника.Новосибирск,"Подразделение ""Афина""",,,Специалист,Сотрудник Брусники 32,Бизнес
БСЗ176,БСЗ,Брусника.Новосибирск,"Подразделение ""Афина""",,,Специалист,Сотрудник Брусники 33,Бизнес
БСЗ177,БСЗ,Брусника.Новосибирск,"Подразделение ""Афина""",,,Директор,Вакансия,Бизнес
БСЗ178,БСЗ,Брусника.Новосибирск,"Подразделение ""Афина""",,,Специалист,Сотрудник Брусники 34,БП/Цифра
БСЗ179,БСЗ,Брусника.Московская область,"Подразделение ""Афина""",,,Специалист,Сотрудник Брусники 35,Сервис
БСЗ180,БСЗ,Брусника.Московская область,"Подразделение ""Афина""",,,Специалист,Сотрудник Брусники 36,Бизнес
БСЗ181,БСЗ,Брусника.Московская область,"Подразделение ""Афина""",,,Специалист,Сотрудник Брусники 37,Сервис
БСЗ182,БСЗ,Брусника.Московская область,"Подразделение ""Афина""",,,Директор,Сотрудник Брусники 38,Бизнес
БСЗ183,БСЗ,Брусника.Московская область,"Подразделение ""Афина""",,,Специалист,Сотрудник Брусники 39,Сервис
БСЗ184,БСЗ,Брусника.Екатеринбург,"Подразделение ""Афина""",,,Специалист,Сотрудник Брусники 40,Бизнес
БСЗ185,БСЗ,Брусника.Екатеринбург,"Подразделение ""Афина""",,,Специалист,Сотрудник Брусники 41,Бизнес
БСЗ186,БСЗ,Брусника.Екатеринбург,"Подразделение ""Афина""",,,Директор,Вакансия,Бизнес
БСЗ187,БСЗ,Брусника.Екатеринбург,"Подразделение ""Афродита""",,,Специалист,Вакансия,Сервис
БСЗ188,БСЗ,Штаб,"Подразделение ""Афродита""","Отдел ""Германия""",,Специалист,Вакансия,Бизнес
БСЗ189,БСЗ,Штаб,"Подразделение ""Афродита""","Отдел ""Германия""","Группа ""Берлин""",Специалист,Сотрудник Брусники 42,Сервис
БСЗ190,БСЗ,Штаб,"Подразделение ""Афродита""","Отдел ""Германия""","Группа ""Берлин""",Ведущий специалист,Вакансия,Бизнес
БСЗ191,БСЗ,Штаб,"Подразделение ""Афродита""","Отдел ""Германия""","Группа ""Мадрид""",Специалист,Сотрудник Брусники 43,Бизнес
БСЗ192,БСЗ,Штаб,"Подразделение ""Афродита""","Отдел ""Германия""","Группа ""Мадрид""",Ведущий аналитик,Сотрудник Брусники 44,Сервис
БСЗ193,БСЗ,Штаб,"Подразделение ""Афродита""","Отдел ""Германия""","Группа ""Мадрид""",Ведущий аналитик,Сотрудник Брусники 45,Бизнес
БСЗ194,БСЗ,Штаб,"Подразделение ""Афродита""","Отдел ""Германия""","Группа ""Берлин""",Ведущий специалист,Вакансия,Сервис
БСЗ195,БСЗ,Штаб,"Подразделение ""Афродита""","Отдел ""Ирландия""",,Специалист,Вакансия,Бизнес
БСЗ196,БСЗ,Штаб,"Подразделение ""Афродита""","Отдел ""Ирландия""","Группа ""Киев""",Специалист,Вакансия,Бизнес
БСЗ197,БСЗ,Штаб,"Подразделение ""Афродита""","Отдел ""Ирландия""","Группа ""Киев""",Специалист,Вакансия,Бизнес
БСЗ198,БСЗ,Штаб,"Подразделение ""Афродита""","Отдел ""Ирландия""","Группа ""Киев""",Специалист,Вакансия,Сервис
БСЗ199,БСЗ,Штаб,"Подразделение ""Афродита""","Отдел ""Ирландия""","Группа ""Киев""",Специалист,Вакансия,Бизнес
БСЗ200,БСЗ,Штаб,"Подразделение ""Афродита""","Отдел ""Ирландия""","Группа ""Киев""",Специалист,Вакансия,Сервис
БСЗ201,БСЗ,Штаб,"Подразделение ""Афродита""","Отдел ""Ирландия""","Группа ""Рим""",Специалист,Вакансия,Бизнес
БСЗ202,БСЗ,Штаб,"Подразделение ""Афродита""","Отдел ""Ирландия""","Группа ""Париж""",Специалист,Сотрудник Брусники 46,Бизнес
БСЗ203,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Минск""",Специалист,Сотрудник Брусники 47,Бизнес
БСЗ204,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Минск""",Специалист,Сотрудник Брусники 48,Бизнес
БСЗ205,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Минск""",Специалист,Сотрудник Брусники 49,Сервис
БСЗ206,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Минск""",Специалист,Сотрудник Брусники 50,Сервис
БСЗ207,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Минск""",Специалист,Вакансия,Сервис
БСЗ208,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Минск""",Специалист,Сотрудник Брусники 51,Сервис
БСЗ209,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Минск""",Главный специалист,Сотрудник Брусники 52,Сервис
БСЗ210,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Минск""",Специалист,Сотрудник Брусники 53,Сервис
БСЗ211,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Вена""",Главный специалист,Сотрудник Брусники 54,Сервис
БСЗ212,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Вена""",Специалист,Сотрудник Брусники 55,Сервис
БСЗ213,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Вена""",Специалист,Сотрудник Брусники 56,Сервис
БСЗ214,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Вена""",Специалист,Сотрудник Брусники 57,Сервис
БСЗ215,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Вена""",Специалист,Сотрудник Брусники 58,Сервис
БСЗ216,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Вена""",Специалист,Сотрудник Брусники 59,Сервис
БСЗ217,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Вена""",Специалист,Сотрудник Брусники 60,Сервис
БСЗ218,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Вена""",Специалист,Сотрудник Брусники 61,Сервис
БСЗ219,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Вена""",Специалист,Сотрудник Брусники 62,Сервис
БСЗ220,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Вена""",Специалист,Сотрудник Брусники 63,Сервис
БСЗ221,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Вена""",Главный специалист,Сотрудник Брусники 64,Сервис
БСЗ222,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Вена""",Специалист,Сотрудник Брусники 65,Сервис
БСЗ223,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Вена""",Специалист,Сотрудник Брусники 66,Сервис
БСЗ224,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Вена""",Специалист,Сотрудник Брусники 67,Сервис
БСЗ225,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Вена""",Специалист,Сотрудник Брусники 68,Сервис
БСЗ226,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Вена""",Специалист,Сотрудник Брусники 69,Сервис
БСЗ227,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Вена""",Главный специалист,Сотрудник Брусники 70,Сервис
БСЗ228,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Вена""",Специалист,Сотрудник Брусники 71,Бизнес
БСЗ229,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Вена""",Специалист,Вакансия,Сервис
БСЗ230,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Вена""",Специалист,Сотрудник Брусники 72,Сервис
БСЗ231,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Вена""",Специалист,Сотрудник Брусники 73,Сервис
БСЗ232,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Вена""",Главный специалист,Сотрудник Брусники 74,Сервис
БСЗ233,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Вена""",Главный специалист,Вакансия,Сервис
БСЗ234,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Вена""",Специалист,Вакансия,Сервис
БСЗ235,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Вена""",Специалист,Вакансия,Сервис
БСЗ236,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Вена""",Специалист,Вакансия,Сервис
БСЗ237,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Вена""",Специалист,Вакансия,Сервис
БСЗ238,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Вена""",Специалист,Вакансия,Сервис
БСЗ239,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Вена""",Специалист,Вакансия,Сервис
БСЗ240,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Вена""",Специалист,Сотрудник Брусники 75,Сервис
БСЗ241,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Гамбург""",Специалист,Сотрудник Брусники 76,Сервис
БСЗ242,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Гамбург""",Специалист,Сотрудник Брусники 77,Сервис
БСЗ243,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Гамбург""",Специалист,Сотрудник Брусники 78,Сервис
БСЗ244,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Гамбург""",Специалист,Сотрудник Брусники 79,Сервис
БСЗ245,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Гамбург""",Специалист,Сотрудник Брусники 80,Сервис
БСЗ246,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Гамбург""",Специалист,Сотрудник Брусники 81,Сервис
БСЗ247,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Гамбург""",Главный специалист,Сотрудник Брусники 82,Сервис
БСЗ248,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Гамбург""",Специалист,Сотрудник Брусники 83,Сервис
БСЗ249,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Гамбург""",Специалист,Сотрудник Брусники 84,Сервис
БСЗ250,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Гамбург""",Специалист,Сотрудник Брусники 85,Сервис
БСЗ251,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Гамбург""",Специалист,Сотрудник Брусники 86,Сервис
БСЗ252,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Гамбург""",Специалист,Сотрудник Брусники 87,Сервис
БСЗ253,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Гамбург""",Специалист,Сотрудник Брусники 88,Сервис
БСЗ254,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Гамбург""",Специалист,Вакансия,Сервис
БСЗ255,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Гамбург""",Специалист,Сотрудник Брусники 89,Сервис
БСЗ256,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Вена""",Специалист,Вакансия,Сервис
БСЗ257,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Гамбург""",Специалист,Сотрудник Брусники 90,Сервис
БСЗ258,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Гамбург""",Специалист,Вакансия,Сервис
БСЗ259,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Гамбург""",Специалист,Вакансия,Сервис
БСЗ260,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Гамбург""",Специалист,Вакансия,Сервис
БСЗ261,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Гамбург""",Специалист,Вакансия,Сервис
БСЗ262,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Гамбург""",Специалист,Вакансия,Сервис
БСЗ263,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Гамбург""",Специалист,Вакансия,Сервис
БСЗ264,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Гамбург""",Специалист,Вакансия,Сервис
БСЗ265,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Гамбург""",Специалист,Вакансия,Сервис
БСЗ266,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""","Группа ""Гамбург""",Специалист,Сотрудник Брусники 91,Сервис
БСЗ267,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Лихтенштейн""",,Специалист,Сотрудник Брусники 92,Сервис
БСЗ268,БСЗ,Штаб,"Подразделение ""Гестия""",,,Специалист,Сотрудник Брусники 93,БП/Цифра
БСЗ269,БСЗ,Штаб,"Подразделение ""Гестия""","Отдел ""Люксембург""","Группа ""Бухарест""",Ведущий специалист,Сотрудник Брусники 94,БП/Цифра
БСЗ270,БСЗ,Штаб,"Подразделение ""Гестия""","Отдел ""Люксембург""","Группа ""Бухарест""",Специалист,Сотрудник Брусники 95,БП/Цифра
БСЗ271,БСЗ,Штаб,"Подразделение ""Гестия""","Отдел ""Люксембург""","Группа ""Бухарест""",Специалист,Вакансия,БП/Цифра
БСЗ272,БСЗ,Штаб,"Подразделение ""Гестия""","Отдел ""Люксембург""","Группа ""Бухарест""",Специалист,Сотрудник Брусники 96,БП/Цифра
БСЗ273,БСЗ,Штаб,"Подразделение ""Гестия""","Отдел ""Люксембург""",,Специалист,Сотрудник Брусники 97,БП/Цифра
БСЗ274,БСЗ,Штаб,"Подразделение ""Гестия""","Отдел ""Люксембург""",,Ведущий специалист,Сотрудник Брусники 98,БП/Цифра
БСЗ275,БСЗ,Штаб,"Подразделение ""Гестия""",,"Группа ""Варшава""",Специалист,Вакансия,БП/Цифра
БСЗ276,БСЗ,Штаб,"Подразделение ""Гестия""",,"Группа ""Варшава""",Ведущий специалист,Сотрудник Брусники 99,БП/Цифра
БСЗ277,БСЗ,Штаб,"Подразделение ""Гестия""",,"Группа ""Будапешт""",Специалист,Вакансия,БП/Цифра
БСЗ278,БСЗ,Штаб,"Подразделение ""Гестия""",,"Группа ""Будапешт""",Специалист,Сотрудник Брусники 100,БП/Цифра
БСЗ279,БСЗ,Штаб,"Подразделение ""Гестия""",,"Группа ""Будапешт""",Специалист,Сотрудник Брусники 101,БП/Цифра
БСЗ280,БСЗ,Штаб,"Подразделение ""Гестия""",,"Группа ""Будапешт""",Специалист,Сотрудник Брусники 102,БП/Цифра
БСЗ281,БСЗ,Штаб,"Подразделение ""Гестия""",,"Группа ""Барселона""",Специалист,Вакансия,БП/Цифра
БСЗ282,БСЗ,Штаб,"Подразделение ""Гестия""",,"Группа ""Мюнхен""",Специалист,Сотрудник Брусники 103,БП/Цифра
БСЗ283,БСЗ,Штаб,"Подразделение ""Гестия""",,"Группа ""Мюнхен""",Главный специалист,Сотрудник Брусники 104,БП/Цифра
БСЗ284,БСЗ,Штаб,"Подразделение ""Гестия""",,"Группа ""Мюнхен""",Ведущий специалист,Сотрудник Брусники 105,БП/Цифра
БСЗ285,БСЗ,Штаб,"Подразделение ""Гестия""",,"Группа ""Мюнхен""",Специалист,Сотрудник Брусники 106,БП/Цифра
БСЗ286,БСЗ,Штаб,"Подразделение ""Гестия""",,"Группа ""Мюнхен""",Ведущий специалист,Сотрудник Брусники 107,БП/Цифра
БСЗ287,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Молдавия""",,Специалист,Сотрудник Брусники 108,БП/Цифра
БСЗ288,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Молдавия""",,Ведущий специалист,Сотрудник Брусники 109,БП/Цифра
БСЗ289,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Молдавия""",,Специалист,Сотрудник Брусники 110,БП/Цифра
БСЗ290,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Молдавия""",,Ведущий Веб-аналитик,Сотрудник Брусники 111,БП/Цифра
БСЗ291,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Молдавия""",,Специалист,Вакансия,БП/Цифра
БСЗ292,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Нидерланды""",,Руководитель отдела,Вакансия,БП/Цифра
БСЗ293,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Франция""","Группа ""Харьков""",Руководитель группы,Вакансия,БП/Цифра
БСЗ294,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Франция""","Группа ""Харьков""",Главный аналитик,Сотрудник Брусники 112,БП/Цифра
БСЗ295,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Франция""","Группа ""Харьков""",Ведущий аналитик,Сотрудник Брусники 113,БП/Цифра
БСЗ296,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Франция""","Группа ""Белград""",Руководитель группы,Вакансия,БП/Цифра
БСЗ297,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Франция""","Группа ""Белград""",Ведущий специалист,Сотрудник Брусники 114,БП/Цифра
БСЗ298,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Франция""","Группа ""Милан""",Руководитель группы,Сотрудник Брусники 115,БП/Цифра
БСЗ299,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Франция""","Группа ""Казань""",Руководитель группы,Сотрудник Брусники 116,БП/Цифра
БСЗ300,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Франция""","Группа ""Прага""",Руководитель проектов,Сотрудник Брусники 117,БП/Цифра
БСЗ301,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Франция""","Группа ""Прага""",Руководитель группы,Вакансия,БП/Цифра
БСЗ302,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Франция""","Группа ""Прага""",Руководитель проектов,Сотрудник Брусники 118,БП/Цифра
БСЗ303,БСЗ,Штаб,"Подразделение ""Гера""",,"Группа ""София""",Руководитель группы,Сотрудник Брусники 119,БП/Цифра
БСЗ304,БСЗ,Штаб,"Подразделение ""Гера""",,"Группа ""София""",Специалист,Сотрудник Брусники 120,БП/Цифра
БСЗ305,БСЗ,Штаб,"Подразделение ""Гера""",,"Группа ""София""",Ведущий специалист,Сотрудник Брусники 121,БП/Цифра
БСЗ306,БСЗ,Штаб,"Подразделение ""Гера""",,,Руководитель подразделения,Сотрудник Брусники 122,БП/Цифра
БСЗ307,БСЗ,Штаб,"Подразделение ""Гера""","Отдел ""Швейцария""",,Специалист,Вакансия,БП/Цифра
БСЗ308,БСЗ,Брусника.Тюмень,"Подразделение ""Гера""","Отдел ""Швейцария""",,Специалист,Вакансия,БП/Цифра
БСЗ309,БСЗ,Брусника.Тюмень,"Подразделение ""Гера""","Отдел ""Сербия""","Группа ""Нижний Новгород""",Специалист,Вакансия,БП/Цифра
БСЗ310,БСЗ,Брусника.Тюмень,"Подразделение ""Гера""","Отдел ""Сербия""","Группа ""Нижний Новгород""",Главный специалист,Сотрудник Брусники 123,БП/Цифра
БСЗ311,БСЗ,Брусника.Тюмень,"Подразделение ""Гера""","Отдел ""Сербия""","Группа ""Самара""",Специалист,Сотрудник Брусники 124,БП/Цифра
БСЗ312,БСЗ,Брусника.Тюмень,"Подразделение ""Гера""","Отдел ""Сербия""","Группа ""Самара""",Главный специалист,Сотрудник Брусники 125,БП/Цифра
БСЗ313,БСЗ,Брусника.Тюмень,"Подразделение ""Гера""","Отдел ""Сербия""",,Специалист,Сотрудник Брусники 126,БП/Цифра
БСЗ314,БСЗ,Брусника.Тюмень,"Подразделение ""Гера""","Отдел ""Сербия""",,Специалист,Сотрудник Брусники 127,БП/Цифра
БСЗ315,БСЗ,Брусника.Тюмень,"Подразделение ""Гера""","Отдел ""Сербия""",,Специалист,Вакансия,БП/Цифра
БСЗ316,БСЗ,Брусника.Тюмень,"Подразделение ""Гера""","Отдел ""Сербия""",,Ведущий специалист,Сотрудник Брусники 128,БП/Цифра
БСЗ317,БСЗ,Брусника.Тюмень,"Подразделение ""Гера""","Отдел ""Сербия""",,Специалист,Сотрудник Брусники 129,БП/Цифра
БСЗ318,БСЗ,Брусника.Тюмень,"Подразделение ""Гера""","Отдел ""Сербия""",,Специалист,Сотрудник Брусники 130,БП/Цифра
БСЗ319,БСЗ,Брусника.Тюмень,"Подразделение ""Гера""","Отдел ""Сербия""",,Специалист,Вакансия,БП/Цифра
БСЗ320,БСЗ,Брусника.Тюмень,"Подразделение ""Гера""","Отдел ""Сербия""",,Руководитель группы,Сотрудник Брусники 131,БП/Цифра
БСЗ321,БСЗ,Брусника.Тюмень,"Подразделение ""Гера""","Отдел ""Сербия""",,Ведущий специалист,Сотрудник Брусники 132,БП/Цифра
